trip_miles,trip_seconds,fare,company,payment_type,tip_rate
0.6,240,5.0,Taxi Affiliation Services,Credit Card,20.0
0.6,240,5.0,Top Cab Affiliation,Cash,0.0
1.33,532,7.75,Blue Ribbon Taxi Association,Credit Card,45.7
0.9,360,6.25,Globe Taxi,Credit Card,32.0
0.9,360,6.25,Top Cab Affiliation,Cash,0.0
1.2,480,7.0,Taxi Affiliation Services,Credit Card,21.4
1.8,720,10.25,Taxi Affiliation Services,Cash,0.0
2.42,968,11.25,Chicago Independents,Prcard,26.0
3.9,1560,16.5,Choice Taxi Association,Cash,0.0
0.9,360,6.0,Taxi Affiliation Services,Credit Card,50.0
0.6,240,5.0,Taxi Affiliation Services,Cash,0.0
4.8,1920,20.0,Taxi Affiliation Services,Unknown,0.0
1.5,600,7.75,Taxi Affiliation Services,Unknown,0.0
2.4,960,10.75,"Taxicab Insurance Agency, LLC",Credit Card,20.9
0.9,360,6.0,Taxi Affiliation Services,Credit Card,16.7
1.2,480,7.5,Globe Taxi,Credit Card,0.0
0.9,360,6.0,Taxi Affiliation Services,Credit Card,37.5
0.6,240,5.0,Taxi Affiliation Services,Unknown,0.0
1.5,600,8.25,Globe Taxi,Cash,0.0
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
1.2,480,7.25,Top Cab Affiliation,Credit Card,27.6
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Credit Card,20.0
0.9,360,6.0,"Taxicab Insurance Agency, LLC",Credit Card,20.0
0.9,360,6.0,Choice Taxi Association,Cash,0.0
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Credit Card,20.0
1.8,720,9.0,Taxi Affiliation Services,Cash,0.0
0.9,360,5.5,Taxi Affiliation Services,Cash,0.0
0.9,360,5.75,Blue Ribbon Taxi Association Inc.,Cash,0.0
0.6,240,5.0,Choice Taxi Association,Cash,0.0
1.5,600,7.75,Taxi Affiliation Services,Unknown,0.0
1.5,600,8.0,Top Cab Affiliation,Cash,0.0
2.1,840,10.25,Taxi Affiliation Services,Cash,0.0
1.2,480,7.0,"Taxicab Insurance Agency, LLC",Cash,0.0
1.2,480,6.75,Taxi Affiliation Services,Credit Card,29.6
0.6,240,4.75,Taxi Affiliation Services,Credit Card,21.1
0.88,352,6.0,Sun Taxi,Credit Card,40.0
0.6,240,5.25,Taxi Affiliation Services,Cash,0.0
0.9,360,6.0,Taxi Affiliation Services,Credit Card,33.3
0.6,240,4.75,Globe Taxi,Credit Card,37.9
0.9,360,6.25,Choice Taxi Association,Cash,0.0
1.29,516,7.25,Flash Cab,Prcard,0.0
0.9,360,6.25,Taxi Affiliation Services,Cash,0.0
1.5,600,7.75,Choice Taxi Association,Credit Card,64.5
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
0.86,344,5.75,Flash Cab,Cash,0.0
0.6,240,5.0,Taxi Affiliation Services,Cash,0.0
0.9,360,6.25,U Taxicab,Cash,0.0
0.6,240,5.25,Top Cab Affiliation,Cash,0.0
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Credit Card,20.0
1.17,468,7.0,Blue Ribbon Taxi Association,Credit Card,14.3
1.2,480,7.25,Top Cab Affiliation,Cash,0.0
0.6,240,5.0,Top Cab Affiliation,Credit Card,80.0
0.6,240,5.25,Taxi Affiliation Services,Cash,0.0
0.6,240,5.0,4053 - 40193 Adwar H. Nikola,Credit Card,40.0
1.2,480,7.0,"Taxicab Insurance Agency, LLC",Cash,0.0
0.6,240,5.0,Taxi Affiliation Services,Cash,0.0
1.5,600,8.25,"Taxicab Insurance Agency, LLC",Credit Card,36.4
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
1.2,480,6.75,"Taxicab Insurance Agency, LLC",Credit Card,121.2
0.6,240,5.0,Taxi Affiliation Services,Credit Card,12.5
0.9,360,6.0,"Taxicab Insurance Agency, LLC",Cash,0.0
1.99,796,9.5,Medallion Leasin,Credit Card,18.2
1.8,720,9.0,Taxi Affiliation Services,Credit Card,22.2
1.5,600,7.75,Taxi Affiliation Services,Credit Card,25.8
0.9,360,6.0,Taxi Affiliation Services,Credit Card,33.3
1.16,464,7.0,Blue Ribbon Taxi Association,Credit Card,25.0
0.8,320,9.0,City Service,Mobile,0.0
1.2,480,6.75,Taxi Affiliation Services,Credit Card,51.6
0.9,360,6.25,"Taxicab Insurance Agency, LLC",Credit Card,36.4
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Cash,0.0
0.9,360,6.25,Taxi Affiliation Services,Credit Card,16.0
1.5,600,7.75,Taxi Affiliation Services,Cash,0.0
0.6,240,5.0,Taxi Affiliation Services,Cash,0.0
1.2,480,7.0,Taxi Affiliation Services,Unknown,0.0
0.6,240,5.25,Taxi Affiliation Services,Cash,0.0
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
0.6,240,5.0,Taxi Affiliation Services,Cash,0.0
1.5,600,8.0,"Taxicab Insurance Agency, LLC",Cash,0.0
0.9,360,6.0,Taxi Affiliation Services,Credit Card,33.3
0.5,200,4.75,Flash Cab,Credit Card,63.2
0.6,240,5.25,Top Cab Affiliation,Cash,0.0
0.6,240,4.75,U Taxicab,Cash,0.0
0.6,240,5.25,Taxi Affiliation Services,Cash,0.0
0.63,252,5.0,Flash Cab,Credit Card,80.0
0.9,360,6.0,Choice Taxi Association,Cash,0.0
2.1,840,9.75,Taxi Affiliation Services,Credit Card,21.0
1.2,480,7.0,U Taxicab,Credit Card,28.6
0.9,360,6.25,Blue Ribbon Taxi Association Inc.,Cash,0.0
0.9,360,6.0,Globe Taxi,Credit Card,33.3
2.98,1192,13.0,Medallion Leasin,Prcard,26.0
0.9,360,5.75,Taxi Affiliation Services,Credit Card,34.8
0.84,336,6.0,Medallion Leasin,Credit Card,14.3
1.8,720,9.25,Taxi Affiliation Services,Cash,0.0
1.5,600,8.0,Taxi Affiliation Services,Credit Card,25.0
1.5,600,8.0,Taxi Affiliation Services,Cash,0.0
1.2,480,7.5,Globe Taxi,Mobile,16.0
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Cash,0.0
1.5,600,7.75,Taxi Affiliation Services,Cash,0.0
0.6,240,5.0,"Taxicab Insurance Agency, LLC",Cash,0.0
0.6,240,4.75,U Taxicab,Cash,0.0
1.5,600,8.25,U Taxicab,Cash,0.0
0.9,360,6.25,"Taxicab Insurance Agency, LLC",Credit Card,38.7
1.5,600,8.25,"Taxicab Insurance Agency, LLC",Cash,0.0
1.5,600,8.0,Top Cab Affiliation,Unknown,0.0
1.5,600,8.25,Chicago Independents,Credit Card,24.2
0.9,360,6.0,Choice Taxi Association,Cash,0.0
0.6,240,5.25,Top Cab Affiliation,Cash,0.0
0.6,240,5.0,Globe Taxi,Cash,0.0
1.2,480,7.25,Taxi Affiliation Services,Cash,0.0
1.5,600,8.25,Globe Taxi,Credit Card,24.2
0.6,240,5.25,Taxi Affiliation Services,Cash,0.0
1.5,600,8.0,Top Cab Affiliation,Credit Card,55.6
0.9,360,6.0,Taxi Affiliation Services,Unknown,0.0
0.9,360,5.75,Choice Taxi Association,Credit Card,52.2
1.8,720,9.0,Taxi Affiliation Services,Cash,0.0
0.6,240,5.25,"Taxicab Insurance Agency, LLC",Cash,0.0
1.2,480,7.0,Taxi Affiliation Services,Cash,0.0
1.2,480,7.0,Choice Taxi Association,Cash,0.0
0.9,360,6.0,Choice Taxi Association,Credit Card,42.9
2.1,840,10.0,Taxi Affiliation Services,Cash,0.0
0.9,360,5.5,Taxi Affiliation Services,Cash,0.0
1.8,720,9.25,Top Cab Affiliation,Credit Card,21.6
0.9,360,6.0,Taxi Affiliation Services,Credit Card,25.0
1.2,480,7.0,Top Cab Affiliation,Credit Card,57.1
2.4,960,13.25,"Taxicab Insurance Agency, LLC",Credit Card,20.6
0.9,360,5.75,Choice Taxi Association,Credit Card,26.1
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
0.9,360,6.25,"Taxicab Insurance Agency, LLC",Credit Card,0.0
1.2,480,7.0,Taxi Affiliation Services,Cash,0.0
1.01,404,6.5,Flash Cab,Prcard,0.0
1.5,600,8.25,Taxi Affiliation Services,Cash,0.0
0.9,360,6.25,Taxi Affiliation Services,Cash,0.0
1.8,720,9.0,Top Cab Affiliation,Credit Card,222.2
1.8,720,9.25,Globe Taxi,Cash,0.0
1.2,480,6.75,Taxi Affiliation Services,Cash,0.0
0.9,360,6.0,Top Cab Affiliation,Cash,0.0
0.6,240,4.75,Taxi Affiliation Services,Credit Card,0.0
0.9,360,6.0,"Taxicab Insurance Agency, LLC",Credit Card,33.3
0.69,276,5.5,Flash Cab,Credit Card,36.4
1.21,484,7.0,City Service,Credit Card,5.4
0.9,360,6.0,Taxi Affiliation Services,Cash,0.0
2.7,1080,11.75,Taxi Affiliation Services,Cash,0.0
4.09,1635,14.89,Flash Cab,Mobile,6.7
3.01,1203,13.0,Medallion Leasin,Mobile,36.3
2.04,815,9.5,Flash Cab,Prcard,0.0
2.04,815,10.0,Star North Taxi Management Llc,Credit Card,20.0
1.8,719,7.25,Star North Taxi Management Llc,Cash,0.0
1.68,671,8.5,Blue Ribbon Taxi Association,Cash,0.0
1.58,631,8.5,Flash Cab,Cash,0.0
1.54,615,8.25,Sun Taxi,Credit Card,21.6
1.48,591,8.0,Flash Cab,Credit Card,37.5
1.47,587,8.0,Flash Cab,Cash,0.0
1.46,583,8.0,Medallion Leasin,Cash,0.0
2.67,1066,12.25,Flash Cab,Credit Card,57.1
1.32,527,8.0,Chicago Independents,Cash,0.0
2.59,1034,12.25,Medallion Leasin,Credit Card,15.1
1.29,515,7.25,Blue Ribbon Taxi Association,Cash,0.0
1.17,467,7.0,Sun Taxi,Credit Card,28.6
1.13,451,7.25,Patriot Taxi Dba Peace Taxi Associat,Cash,0.0
1.13,451,9.0,Sun Taxi,Mobile,0.0
2.22,886,10.25,Flash Cab,Credit Card,39.0
11.51,4593,44.75,Flash Cab,Cash,0.0
1.04,415,9.0,Sun Taxi,Mobile,17.2
1.03,411,6.75,Sun Taxi,Cash,0.0
1.0,399,6.5,Flash Cab,Cash,0.0
1.99,794,9.75,Flash Cab,Credit Card,41.0
5.73,2286,21.25,Sun Taxi,Credit Card,20.5
0.94,375,6.0,Flash Cab,Cash,0.0
1.82,726,8.75,Flash Cab,Prcard,22.9
0.89,355,6.0,Medallion Leasin,Mobile,10.8
1.78,710,9.25,Flash Cab,Credit Card,21.6
2.61,1041,12.25,Medallion Leasin,Cash,0.0
0.86,343,6.0,Flash Cab,Cash,0.0
1.62,646,9.0,Globe Taxi,Mobile,28.8
1.6,638,8.25,City Service,Credit Card,21.6
2.37,945,10.75,City Service,Credit Card,14.4
1.56,622,8.5,Blue Ribbon Taxi Association,Cash,0.0
1.52,606,8.0,Flash Cab,Prcard,0.0
2.24,893,9.3,Sun Taxi,Mobile,17.3
2.19,873,10.5,Flash Cab,Credit Card,28.6
1.46,582,8.0,Medallion Leasin,Cash,0.0
0.69,275,5.5,Medallion Leasin,Credit Card,54.5
1.33,530,7.5,Taxicab Insurance Agency Llc,Credit Card,33.3
1.3,518,6.75,City Service,Prcard,29.6
0.63,251,5.0,Flash Cab,Cash,0.0
0.62,247,5.25,Sun Taxi,Cash,0.0
1.22,486,7.25,Medallion Leasin,Mobile,21.4
0.59,235,5.0,Flash Cab,Cash,0.0
2.27,904,10.5,Flash Cab,Cash,0.0
0.56,223,4.75,Flash Cab,Cash,0.0
2.19,872,10.5,Flash Cab,Mobile,10.5
1.64,653,8.75,Flash Cab,Credit Card,22.9
1.08,430,6.75,Flash Cab,Cash,0.0
1.08,430,6.5,City Service,Credit Card,30.8
1.05,418,6.75,Flash Cab,Cash,0.0
1.57,625,9.0,City Service,Mobile,17.2
1.55,617,8.0,Flash Cab,Credit Card,25.0
2.06,820,9.75,Flash Cab,Cash,0.0
0.51,203,4.75,Flash Cab,Credit Card,63.2
1.51,601,8.0,Flash Cab,Cash,0.0
0.5,199,4.5,Chicago Independents,Cash,0.0
1.0,398,6.5,Taxicab Insurance Agency Llc,Credit Card,30.8
1.48,589,9.0,Globe Taxi,Mobile,0.0
2.45,975,10.53,Blue Ribbon Taxi Association,Mobile,34.5
0.97,386,6.25,Sun Taxi,Cash,0.0
3.39,1349,12.87,Globe Taxi,Mobile,28.7
1.43,569,9.0,24 Seven Taxi,Mobile,11.6
1.89,752,9.0,City Service,Cash,0.0
5.86,2331,16.97,Chicago Independents,Mobile,23.0
1.73,688,8.75,Flash Cab,Cash,0.0
2.59,1030,10.22,Chicago Independents,Mobile,19.6
2.96,1177,12.5,Sun Taxi,Mobile,20.8
1.25,497,7.25,Flash Cab,Credit Card,27.6
0.83,330,9.0,Sun Taxi,Mobile,22.9
1.23,489,7.25,Sun Taxi,Cash,0.0
4.43,1761,17.5,Flash Cab,Credit Card,20.6
1.2,477,6.75,Chicago Independents,Credit Card,34.3
1.57,624,8.25,Taxicab Insurance Agency Llc,Cash,0.0
0.77,306,5.75,Flash Cab,Cash,0.0
2.62,1041,11.03,Blue Ribbon Taxi Association,Mobile,27.2
1.12,445,6.75,Blue Ribbon Taxi Association,Cash,0.0
1.48,588,8.0,24 Seven Taxi,Credit Card,25.0
0.73,290,5.5,Sun Taxi,Credit Card,36.4
1.8,715,8.25,Chicago Independents,Cash,0.0
1.08,429,6.75,Star North Taxi Management Llc,Credit Card,29.6
2.15,854,10.5,Taxicab Insurance Agency Llc,Cash,0.0
2.5,993,11.75,Globe Taxi,Prcard,0.0
5.92,2351,23.75,Flash Cab,Prcard,0.0
2.38,945,9.15,Sun Taxi,Mobile,23.0
0.66,262,5.25,Taxicab Insurance Agency Llc,Credit Card,19.0
1.96,778,9.75,Globe Taxi,Mobile,23.0
1.3,516,7.25,Flash Cab,Credit Card,55.2
1.3,516,7.25,Chicago Independents,Cash,0.0
1.62,643,8.25,Sun Taxi,Cash,0.0
1.6,635,8.5,Globe Taxi,Credit Card,15.6
1.87,742,9.0,Sun Taxi,Prcard,0.0
0.93,369,6.0,Medallion Leasin,Cash,0.0
1.52,603,8.25,Sun Taxi,Cash,0.0
0.91,361,6.0,City Service,Cash,0.0
1.2,476,6.75,Chicago Independents,Cash,0.0
0.6,238,5.0,Chicago Independents,Credit Card,40.0
4.8,1904,18.25,Medallion Leasin,Prcard,0.0
0.59,234,5.0,City Service,Credit Card,60.0
0.88,349,6.0,City Service,Cash,0.0
0.87,345,5.75,Chicago Independents,Cash,0.0
0.57,226,5.0,Sun Taxi,Cash,0.0
2.26,896,37.0,Flash Cab,Cash,0.0
1.68,666,8.75,Flash Cab,Cash,0.0
5.27,2089,20.0,City Service,Cash,0.0
1.93,765,9.87,Sun Taxi,Mobile,23.0
1.1,436,6.75,Flash Cab,Prcard,0.0
2.47,979,11.0,Flash Cab,Credit Card,18.2
1.37,543,9.0,Chicago Independents,Mobile,23.0
1.06,420,9.0,Sun Taxi,Mobile,5.8
0.53,210,4.75,Sun Taxi,Credit Card,63.2
3.39,1343,12.25,Blue Ribbon Taxi Association,Mobile,16.3
7.55,2991,29.25,Globe Taxi,Prcard,0.0
0.78,309,5.75,Flash Cab,Credit Card,69.6
0.51,202,4.75,Flash Cab,Cash,0.0
0.76,301,9.0,Blue Ribbon Taxi Association,Mobile,23.0
0.76,301,5.5,Star North Taxi Management Llc,Cash,0.0
1.26,499,7.0,Sun Taxi,Cash,0.0
0.5,198,4.75,Medallion Leasin,Credit Card,110.5
1.73,685,8.75,Flash Cab,Credit Card,22.9
1.22,483,7.0,Sun Taxi,Cash,0.0
0.95,376,6.0,Sun Taxi,Credit Card,33.3
1.66,657,8.75,Medallion Leasin,Credit Card,30.8
0.71,281,5.5,Flash Cab,Cash,0.0
2.12,839,9.75,Flash Cab,Cash,0.0
2.58,1021,9.49,Star North Taxi Management Llc,Mobile,10.5
1.15,455,7.0,Flash Cab,Prcard,0.0
1.6,633,8.0,Blue Ribbon Taxi Association,Cash,0.0
1.12,443,6.75,Star North Taxi Management Llc,Credit Card,44.4
1.11,439,6.5,Star North Taxi Management Llc,Prcard,46.2
1.55,613,9.0,Medallion Leasin,Mobile,22.2
3.31,1309,14.25,Flash Cab,Credit Card,15.5
1.31,518,7.25,Sun Taxi,Cash,0.0
2.14,846,10.5,Flash Cab,Cash,0.0
1.48,585,9.0,Medallion Leasin,Mobile,23.0
2.11,834,10.25,Medallion Leasin,Credit Card,29.3
3.58,1415,15.5,Flash Cab,Mobile,20.6
0.63,249,5.25,Taxicab Insurance Agency Llc,Credit Card,38.1
1.25,494,7.25,Flash Cab,Prcard,0.0
1.25,494,7.25,24 Seven Taxi,Credit Card,36.4
0.62,245,5.0,24 Seven Taxi,Credit Card,20.0
7.43,2936,32.5,Blue Ribbon Taxi Association,Prcard,0.0
0.82,324,5.75,Flash Cab,Credit Card,69.6
0.61,241,5.25,Flash Cab,Credit Card,38.1
2.21,873,10.04,24 Seven Taxi,Mobile,17.2
1.8,711,9.0,Chicago Independents,Mobile,23.0
1.6,632,8.5,Koam Taxi Association,Credit Card,21.2
1.2,474,6.75,City Service,Cash,0.0
1.39,549,9.0,Chicago Independents,Mobile,23.0
0.99,391,6.25,Sun Taxi,Cash,0.0
1.98,782,9.75,Medallion Leasin,Credit Card,20.5
7.9,3120,29.5,Globe Taxi,Prcard,0.0
0.98,387,6.25,Medallion Leasin,Credit Card,64.0
0.78,308,5.5,Medallion Leasin,Credit Card,36.4
1.56,616,8.25,Sun Taxi,Cash,0.0
1.56,616,8.25,Flash Cab,Prcard,0.0
1.34,529,7.5,Flash Cab,Credit Card,40.0
1.72,679,8.5,Flash Cab,Prcard,0.0
0.57,225,5.0,Flash Cab,Prcard,0.0
0.76,300,5.5,City Service,Credit Card,72.7
1.13,446,6.75,Star North Taxi Management Llc,Cash,0.0
1.49,588,8.25,Sun Taxi,Cash,0.0
1.84,726,9.25,Taxicab Insurance Agency Llc,Cash,0.0
1.65,651,8.5,Taxicab Insurance Agency Llc,Credit Card,35.3
2.2,868,10.25,Chicago Independents,Credit Card,19.5
1.1,434,6.5,Flash Cab,Prcard,0.0
3.11,1227,11.36,Taxicab Insurance Agency Llc,Mobile,0.0
0.91,359,6.25,Flash Cab,Cash,0.0
1.45,572,8.0,Flash Cab,Prcard,0.0
0.54,213,4.75,Globe Taxi,Credit Card,84.2
1.96,773,9.5,Blue Ribbon Taxi Association,Credit Card,31.6
0.88,347,6.0,Star North Taxi Management Llc,Credit Card,50.0
1.23,485,7.0,Star North Taxi Management Llc,Cash,0.0
1.05,414,6.5,Flash Cab,Cash,0.0
3.5,1380,14.75,Taxi Affiliation Services,Credit Card,20.7
3.5,1380,14.0,Globe Taxi,Credit Card,20.7
1.05,414,6.5,Blue Ribbon Taxi Association,Credit Card,30.8
1.22,481,7.25,Flash Cab,Cash,0.0
1.56,615,8.5,Taxicab Insurance Agency Llc,Cash,0.0
3.12,1230,12.75,City Service,Cash,0.0
1.73,682,9.0,Sun Taxi,Credit Card,33.3
1.21,477,7.0,City Service,Credit Card,28.6
1.89,745,9.0,Star North Taxi Management Llc,Cash,0.0
1.01,398,6.25,Sun Taxi,Credit Card,55.2
1.5,591,9.0,Globe Taxi,Mobile,23.0
6.48,2553,25.25,Flash Cab,Prcard,0.0
0.83,327,9.0,Globe Taxi,Mobile,11.1
1.49,587,7.75,Sun Taxi,Credit Card,21.6
1.82,717,9.25,Flash Cab,Credit Card,21.6
0.66,260,5.25,Flash Cab,Prcard,57.1
0.66,260,5.0,City Service,Credit Card,40.0
0.66,260,5.25,Taxicab Insurance Agency Llc,Cash,0.0
2.12,835,9.35,Sun Taxi,Mobile,23.0
0.65,256,9.0,Globe Taxi,Mobile,11.6
1.3,512,7.5,Globe Taxi,Cash,0.0
1.78,701,9.0,City Service,Credit Card,33.3
7.22,2843,27.75,Flash Cab,Prcard,0.0
1.28,504,7.5,Medallion Leasin,Cash,0.0
4.32,1701,17.0,Flash Cab,Cash,0.0
0.79,311,5.5,Blue Ribbon Taxi Association,Cash,0.0
2.05,807,10.0,Sun Taxi,Cash,0.0
0.63,248,5.0,Medallion Leasin,Cash,0.0
11.48,4519,41.75,City Service,Cash,0.0
1.1,433,6.75,City Service,Credit Card,29.6
1.72,677,8.75,Medallion Leasin,Credit Card,22.9
1.4,551,7.75,Globe Taxi,Credit Card,34.0
6.84,2692,21.57,Medallion Leasin,Mobile,23.0
2.64,1039,11.5,Flash Cab,Credit Card,34.8
1.7,669,8.25,Flash Cab,Credit Card,42.4
0.61,240,5.0,Sun Taxi,Cash,0.0
10.52,4139,37.0,Flash Cab,Cash,0.0
3.8,1495,12.93,Sun Taxi,Mobile,23.0
0.91,358,5.75,Chicago Independents,Credit Card,34.8
1.21,476,7.0,Sun Taxi,Cash,0.0
1.2,472,7.0,Medallion Leasin,Cash,0.0
1.8,708,9.5,Globe Taxi,Cash,0.0
1.19,468,7.0,Star North Taxi Management Llc,Cash,0.0
0.74,291,5.25,Flash Cab,Credit Card,38.1
3.24,1274,13.75,Flash Cab,Credit Card,15.5
1.32,519,7.25,Flash Cab,Credit Card,13.8
1.32,519,7.5,Flash Cab,Prcard,0.0
2.9,1140,12.5,Taxi Affiliation Services,Cash,0.0
2.9,1140,12.75,Taxi Affiliation Services,Unknown,0.0
2.9,1140,12.5,Taxi Affiliation Services,Cash,0.0
1.88,739,9.25,Flash Cab,Cash,0.0
0.72,283,5.25,Star North Taxi Management Llc,Credit Card,32.0
4.43,1741,18.5,Patriot Taxi Dba Peace Taxi Associat,Prcard,0.0
1.14,448,9.0,Chicago Independents,Mobile,5.8
0.71,279,5.25,Chicago Independents,Credit Card,57.1
8.23,3234,30.0,City Service,Prcard,0.0
1.13,444,6.75,Sun Taxi,Cash,0.0
1.27,499,7.5,Flash Cab,Cash,0.0
0.7,275,5.75,Chicago Independents,Credit Card,34.8
1.12,440,6.75,Flash Cab,Prcard,0.0
1.11,436,6.5,Flash Cab,Cash,0.0
0.83,326,10.01,Flash Cab,Mobile,22.9
0.69,271,5.25,Flash Cab,Cash,0.0
0.96,377,6.25,Sun Taxi,Cash,0.0
1.92,754,9.5,Taxicab Insurance Agency Llc,Prcard,31.6
1.37,538,9.0,Chicago Independents,Mobile,23.0
1.09,428,6.0,Star North Taxi Management Llc,Credit Card,33.3
1.63,640,8.25,Medallion Leasin,Cash,0.0
1.9,746,9.25,Chicago Taxicab,Mobile,10.6
1.08,424,6.5,Sun Taxi,Credit Card,46.2
3.1,1217,13.0,Flash Cab,Prcard,20.8
1.75,687,9.06,Globe Taxi,Mobile,23.0
1.34,526,7.5,Globe Taxi,Credit Card,23.5
0.8,314,5.75,Chicago Independents,Credit Card,44.4
5.6,2198,20.25,Globe Taxi,Credit Card,20.5
0.8,314,5.5,Flash Cab,Cash,0.0
10.12,3972,57.0,Flash Cab,Cash,0.0
1.59,624,8.25,Flash Cab,Credit Card,21.6
1.58,620,8.0,Taxicab Insurance Agency Llc,Cash,0.0
1.97,773,9.5,Sun Taxi,Mobile,10.5
1.05,412,6.0,24 Seven Taxi,Cash,0.0
2.6,1020,11.75,Taxi Affiliation Services,Credit Card,17.0
2.2,863,10.0,Globe Taxi,Credit Card,20.0
2.07,812,10.0,Flash Cab,Cash,0.0
1.4,549,7.75,City Service,Credit Card,25.8
1.52,596,9.0,Taxicab Insurance Agency Llc,Mobile,23.0
2.02,792,9.75,Sun Taxi,Cash,0.0
1.88,737,9.0,Star North Taxi Management Llc,Mobile,23.0
1.75,686,8.75,Flash Cab,Cash,0.0
0.5,196,9.0,Blue Ribbon Taxi Association,Mobile,22.9
1.0,392,6.0,Chicago Independents,Credit Card,33.3
1.86,729,9.25,City Service,Credit Card,54.1
0.86,337,6.0,Taxicab Insurance Agency Llc,Credit Card,53.3
4.9,1920,18.25,Taxi Affiliation Services,Unknown,0.0
2.08,815,10.0,Sun Taxi,Credit Card,30.0
1.1,431,6.75,24 Seven Taxi,Credit Card,29.6
1.33,521,7.25,Blue Ribbon Taxi Association,Cash,0.0
1.69,662,8.75,Star North Taxi Management Llc,Credit Card,34.3
1.81,709,9.0,Medallion Leasin,Mobile,22.9
0.84,329,5.75,Globe Taxi,Credit Card,26.1
2.4,940,11.25,City Service,Prcard,0.0
4.31,1688,16.75,Flash Cab,Credit Card,20.6
1.43,560,9.0,Flash Cab,Mobile,23.0
2.62,1026,11.5,Sun Taxi,Credit Card,26.1
1.3,509,9.0,Medallion Leasin,Mobile,23.0
5.66,2216,21.75,Medallion Leasin,Credit Card,15.4
0.94,368,6.0,City Service,Cash,0.0
0.82,321,9.0,Flash Cab,Mobile,20.7
0.82,321,11.0,Globe Taxi,Mobile,18.2
0.81,317,5.5,Flash Cab,Cash,0.0
4.6,1800,17.75,Chicago Independents,Credit Card,20.6
2.3,900,10.75,Top Cab Affiliation,Cash,0.0
2.3,900,10.5,Taxi Affiliation Services,Cash,0.0
2.3,900,10.75,Taxi Affiliation Services,Cash,0.0
2.3,900,14.5,"Taxicab Insurance Agency, LLC",Cash,0.0
2.3,900,10.5,Chicago Independents,Credit Card,21.0
2.3,900,10.5,Taxi Affiliation Services,Credit Card,26.2
1.61,630,8.5,Flash Cab,Credit Card,21.1
1.26,493,7.25,Taxicab Insurance Agency Llc,Cash,0.0
1.37,536,7.75,Blue Ribbon Taxi Association,Cash,0.0
1.34,524,7.5,Flash Cab,Cash,0.0
1.78,696,9.0,Flash Cab,Mobile,21.1
1.22,477,7.25,Flash Cab,Credit Card,36.4
1.33,520,7.5,Flash Cab,Cash,0.0
1.88,735,9.5,Flash Cab,Credit Card,31.6
3.3,1290,14.75,Taxicab Insurance Agency Llc,Mobile,15.4
1.76,688,9.28,Flash Cab,Mobile,17.2
1.1,430,6.75,Flash Cab,Mobile,10.7
0.99,387,6.25,Flash Cab,Credit Card,32.0
1.2,469,6.75,City Service,Cash,0.0
5.89,2302,15.48,24 Seven Taxi,Mobile,23.0
7.3,2853,30.0,Flash Cab,Prcard,0.0
1.85,723,30.0,City Service,Cash,0.0
2.59,1012,11.0,Sun Taxi,Mobile,9.1
0.97,379,6.25,City Service,Credit Card,48.0
0.97,379,6.25,Flash Cab,Credit Card,25.8
0.86,336,6.0,Flash Cab,Cash,0.0
4.3,1680,16.75,Taxi Affiliation Services,Cash,0.0
6.54,2555,26.25,Flash Cab,Prcard,0.0
0.75,293,5.25,Flash Cab,Cash,0.0
1.82,711,9.25,Sun Taxi,Cash,0.0
1.39,543,7.75,Chicago Independents,Credit Card,45.7
0.64,250,5.0,Sun Taxi,Cash,0.0
0.64,250,5.25,Chicago Independents,Credit Card,38.1
0.96,375,6.25,Flash Cab,Cash,0.0
7.56,2953,30.0,City Service,Prcard,25.4
0.85,332,5.75,Sun Taxi,Credit Card,34.8
7.11,2777,29.25,Flash Cab,Cash,0.0
0.53,207,4.5,Blue Ribbon Taxi Association,Credit Card,22.2
0.53,207,5.0,Flash Cab,Cash,0.0
1.27,496,9.0,Globe Taxi,Mobile,20.7
0.74,289,5.5,Star North Taxi Management Llc,Cash,0.0
1.16,453,6.75,City Service,Mobile,21.3
1.37,535,9.0,Sun Taxi,Mobile,0.0
2.2,859,9.78,Chicago Independents,Mobile,23.0
0.73,285,5.5,Chicago Independents,Credit Card,36.4
1.25,488,7.25,24 Seven Taxi,Cash,0.0
3.02,1179,13.0,Blue Ribbon Taxi Association,Mobile,26.0
0.52,203,4.75,Chicago Independents,Cash,0.0
14.32,5590,39.25,City Service,Credit Card,20.2
0.83,324,6.0,Flash Cab,Credit Card,66.7
1.45,566,7.75,City Service,Credit Card,38.7
1.34,523,7.5,City Service,Cash,0.0
1.74,679,9.0,City Service,Mobile,23.0
9.18,3582,26.63,Taxicab Insurance Agency Llc,Mobile,0.0
1.12,437,6.75,City Service,Cash,0.0
7.73,3015,31.25,Flash Cab,Prcard,0.0
